Header,Description,Instruction
30446,"{""description"": ""A compact airplane restroom with a toilet, flush button, and a sign indicating proper usage."", ""details"": {""objects"": [""Toilet"", ""Flush button"", ""Sign"", ""Handrail""], ""scene"": ""Indoor scene"", ""spatial_info"": {""Toilet"": ""Center"", ""Flush button"": ""Left side of the toilet"", ""Sign"": ""Above the toilet"", ""Handrail"": ""Bottom left corner""}}, ""confidence"": 0.9448510364628986, ""recognition_status"": ""success"", ""processing_time"": 7.84201455116272}","Definition: In this task, draw tight bounding boxes around the ""Toilet"".
Emphasis & Caution: Center.
Things to Avoid: Do not annotate ""Flush button"", ""Sign"", or ""Handrail""."
30685,"{""description"": ""A motorcyclist wearing a high-visibility vest rides past a closed gate with a sign indicating restricted access, while cars are parked behind the gate."", ""details"": {""objects"": [""motorcycle"", ""motorcyclist"", ""high-visibility vest"", ""closed gate"", ""sign"", ""parked cars"", ""street lamps"", ""trees"", ""road""], ""scene"": ""urban street"", ""spatial_info"": {""motorcycle"": ""left side of the image, moving towards the right"", ""motorcyclist"": ""riding the motorcycle"", ""gate"": ""center-right of the image, partially open"", ""sign"": ""attached to the gate, near the center-right"", ""cars"": ""behind the gate, parked on the right side"", ""street lamps"": ""on both sides of the road, near the gate"", ""trees"": ""in the background, surrounding the area"", ""road"": ""extending from the bottom left to the bottom right of the image""}}, ""confidence"": 0.933903948861198, ""recognition_status"": ""success"", ""processing_time"": 15.176152229309082}","Definition: In this task, draw tight bounding boxes around the ""motorcyclist"" and ""motorcycle"".
Emphasis & Caution: Wearing ""high-visibility vest"", left side moving right.
Things to Avoid: Do not annotate ""closed gate"", ""sign"", ""parked cars"", ""street lamps"", ""trees"", or ""road""."
30944,"{""description"": ""A desk setup featuring a floral mouse pad, a black Microsoft mouse, a small numeric keypad, a calculator, and pens."", ""details"": {""objects"": [""floral mouse pad"", ""black Microsoft mouse"", ""small numeric keypad"", ""calculator"", ""pens""], ""scene"": ""indoor scene"", ""spatial_info"": {""mouse pad"": ""center"", ""mouse"": ""on top of mouse pad"", ""numeric keypad"": ""top left"", ""calculator"": ""top right"", ""pens"": ""top right""}}, ""confidence"": 0.9575703907357483, ""recognition_status"": ""success"", ""processing_time"": 9.216384410858154}","Definition: In this task, draw tight bounding boxes around the ""black Microsoft mouse"" and ""small numeric keypad"".
Emphasis & Caution: Mouse on top of mouse pad, keypad top left.
Things to Avoid: Do not annotate ""floral mouse pad"", ""calculator"", or ""pens""."
31235,"{""description"": ""A woman holding an umbrella smiles while standing on a wet urban street, with colorful murals and a shop named 'the bean' in the background."", ""details"": {""objects"": [""woman"", ""umbrella"", ""raincoat"", ""crosswalk"", ""shop"", ""murals"", ""fire hydrant"", ""pedestrian""], ""scene"": ""urban street"", ""spatial_info"": {""woman"": ""center"", ""umbrella"": ""in her hands"", ""raincoat"": ""on her"", ""crosswalk"": ""in front of her"", ""shop"": ""to the right"", ""murals"": ""on the building behind her"", ""fire hydrant"": ""on the sidewalk to the right"", ""pedestrian"": ""walking away in the background""}}, ""confidence"": 0.9492599524252958, ""recognition_status"": ""success"", ""processing_time"": 12.237355470657349}","Definition: In this task, draw tight bounding boxes around the ""woman"".
Emphasis & Caution: Center, holding an ""umbrella"".
Things to Avoid: Do not annotate ""crosswalk"", ""shop"", ""murals"", ""fire hydrant"", or ""pedestrian""."
31504,"{""description"": ""A woman is sitting on a bench outside, smoking a cigarette while looking at her phone."", ""details"": {""objects"": [""woman"", ""cigarette"", ""phone"", ""bench"", ""backpack"", ""brick wall"", ""window""], ""scene"": ""outdoor scene"", ""spatial_info"": {""woman"": ""sitting on a bench"", ""cigarette"": ""in hand"", ""phone"": ""held in the other hand"", ""bench"": ""black metal frame"", ""backpack"": ""placed on the bench"", ""brick wall"": ""behind the woman"", ""window"": ""partially visible above the bench""}}, ""confidence"": 0.9587138874015854, ""recognition_status"": ""success"", ""processing_time"": 10.974782943725586}","Definition: In this task, draw tight bounding boxes around the ""woman"".
Emphasis & Caution: Sitting on a bench.
Things to Avoid: Do not annotate ""cigarette"", ""phone"", ""bench"", ""backpack"", ""brick wall"", or ""window""."
31733,"{""description"": ""A small bird perches on a branch amidst vibrant orange fruits and lush green leaves, set against a blurred background suggesting an outdoor garden or park setting."", ""details"": {""objects"": [""bird"", ""orange fruits"", ""green leaves"", ""branch"", ""background""], ""scene"": ""outdoor garden"", ""spatial_info"": {""bird"": ""center-left"", ""orange fruits"": ""top-center"", ""green leaves"": ""throughout"", ""branch"": ""center"", ""background"": ""blurred behind""}}, ""confidence"": 0.942785543292477, ""recognition_status"": ""success"", ""processing_time"": 9.317198753356934}","Definition: In this task, draw tight bounding boxes around the ""bird"".
Emphasis & Caution: Center-left.
Things to Avoid: Do not annotate ""orange fruits"", ""green leaves"", ""branch"", or ""background""."
31993,"{""description"": ""Three sheep with curved horns are walking on a grassy field, with two in the background and one in the foreground."", ""details"": {""objects"": [""Three sheep"", ""Grassy field"", ""Fence in the background""], ""scene"": ""Outdoor rural scene"", ""spatial_info"": {""sheep_1"": {""position"": ""center-right""}, ""sheep_2"": {""position"": ""center-left""}, ""sheep_3"": {""position"": ""foreground""}}}, ""confidence"": 0.9565796095114918, ""recognition_status"": ""success"", ""processing_time"": 8.351461172103882}","Definition: In this task, draw tight bounding boxes around the ""Three sheep"".
Emphasis & Caution: One in the foreground, others center-left and center-right.
Things to Avoid: Do not annotate ""Grassy field"" or ""Fence in the background""."
32295,"{""description"": ""A busy urban street scene filled with cars, pedestrians, and traffic lights during daytime."", ""details"": {""objects"": [""cars"", ""pedestrians"", ""traffic lights"", ""buildings"", ""signboards"", ""street signs""], ""scene"": ""urban street"", ""spatial_info"": {""cars"": ""occupying the lower half of the image, moving along the road"", ""pedestrians"": ""walking on sidewalks and crossing streets"", ""traffic lights"": ""visible at intersections, showing red and green signals"", ""buildings"": ""tall structures lining both sides of the street"", ""signboards"": ""advertising and directional signs attached to poles"", ""street signs"": ""indicating directions and regulations for drivers and pedestrians""}}, ""confidence"": 0.9416088961827254, ""recognition_status"": ""success"", ""processing_time"": 11.760878324508667}","Definition: In this task, draw tight bounding boxes around the ""cars"" and ""pedestrians"".
Emphasis & Caution: Cars in the lower half, pedestrians on sidewalks and crossings.
Things to Avoid: Do not annotate ""traffic lights"", ""buildings"", ""signboards"", or ""street signs""."
32586,"{""description"": ""A gray tabby cat wearing a blue collar is lying on a tiled floor, with an orange object partially visible in the foreground."", ""details"": {""objects"": [""Gray tabby cat"", ""Blue collar"", ""Orange object"", ""Tiled floor"", ""Armchair"", ""Plastic container"", ""Potted plant""], ""scene"": ""Indoor scene"", ""spatial_info"": {""cat"": ""Center of the image, lying on the floor"", ""orange object"": ""Foreground, partially visible"", ""armchair"": ""Background, behind the cat"", ""plastic container"": ""Left side, near the armchair"", ""potted plant"": ""Left side, partially visible""}}, ""confidence"": 0.9499404884578152, ""recognition_status"": ""success"", ""processing_time"": 11.32374882698059}","Definition: In this task, draw tight bounding boxes around the ""Gray tabby cat"".
Emphasis & Caution: Wearing a ""Blue collar"", center.
Things to Avoid: Do not annotate ""Orange object"", ""Tiled floor"", ""Armchair"", ""Plastic container"", or ""Potted plant""."
32739,"{""description"": ""A cozy indoor living room scene where people are gathered, engaging in leisure activities such as watching TV and socializing."", ""details"": {""objects"": [""Television displaying a video game"", ""Coffee table with drinks and snacks"", ""Leather armchair"", ""Wooden floor"", ""Large windows"", ""Couches"", ""Floor mat"", ""Shopping bag"", ""Decorative items""], ""scene"": ""Indoor scene"", ""spatial_info"": {""Television"": ""On the right side of the image, facing the group of people"", ""Coffee table"": ""Centered in front of the television, near the group of people"", ""Leather armchair"": ""On the left side, occupied by a person"", ""Couches"": ""In the background, partially visible"", ""Windows"": ""On the back wall, showing reflections of the interior"", ""Floor mat"": ""On the floor, in front of the coffee table"", ""Shopping bag"": ""On the floor, near the center of the image""}}, ""confidence"": 0.9173307628154023, ""recognition_status"": ""success"", ""processing_time"": 15.153653383255005}","Definition: In this task, draw tight bounding boxes around the ""Leather armchair"".
Emphasis & Caution: Left side.
Things to Avoid: Do not annotate ""Television displaying a video game"", ""Coffee table with drinks and snacks"", ""Wooden floor"", ""Large windows"", ""Couches"", ""Floor mat"", ""Shopping bag"", or ""Decorative items""."
32984,"{""description"": ""A group of people is gathered around a wooden table, engaged in conversation and enjoying food and drinks."", ""details"": {""objects"": [""Wooden table"", ""Paper towels"", ""Snacks"", ""Cans"", ""Plates"", ""Food remnants"", ""People"", ""Wall with framed picture"", ""Wooden paneling""], ""scene"": ""Indoor scene"", ""spatial_info"": {""Wooden table"": ""Central focus of the image, where most activities are taking place."", ""Paper towels"": ""On the table, likely for cleaning up."", ""Snacks"": ""Placed on the table, possibly for sharing."", ""Cans"": ""Scattered on the table, suggesting beverages being consumed."", ""Plates"": ""With food remnants, indicating a meal or snack time."", ""People"": ""Sitting around the table, engaged in conversation."", ""Wall with framed picture"": ""Visible in the background, adding to the indoor setting."", ""Wooden paneling"": ""On the wall behind the people, contributing to the cozy atmosphere.""}}, ""confidence"": 0.9261782661773518, ""recognition_status"": ""success"", ""processing_time"": 15.749916315078735}","Definition: In this task, draw tight bounding boxes around all ""People"".
Emphasis & Caution: Focus on ""People"" sitting around the ""Wooden table"".
Things to Avoid: Do not annotate ""Wooden table"", ""Plates"", ""Cans"", ""Wall with framed picture"", or ""Wooden paneling""."
33215,"{""description"": ""A black-and-white urban street scene featuring a historic clock tower amidst modern buildings, with various street signs and vehicles in the foreground."", ""details"": {""objects"": [""Historic clock tower"", ""Modern buildings"", ""Street signs"", ""Vehicles"", ""Lamp posts"", ""Flags"", ""Clocks""], ""scene"": ""Urban street"", ""spatial_info"": {""clock tower"": ""Center"", ""modern buildings"": ""Surrounding the clock tower"", ""street signs"": ""Left side"", ""vehicles"": ""Foreground"", ""lamp posts"": ""Scattered throughout"", ""flags"": ""Attached to the clock tower""}}, ""confidence"": 0.9519985086412353, ""recognition_status"": ""success"", ""processing_time"": 10.309844255447388}","Definition: In this task, draw tight bounding boxes around all ""Vehicles"".
Emphasis & Caution: Focus on ""Vehicles"" in the foreground.
Things to Avoid: Do not annotate ""Historic clock tower"", ""Modern buildings"", ""Street signs"", ""Lamp posts"", or ""Flags""."
33499,"{""description"": ""A decorative clock with ornate details and two lanterns on either side, set against a clear blue sky."", ""details"": {""objects"": [""Clock"", ""Lanterns"", ""Decorative elements""], ""scene"": ""Outdoor scene"", ""spatial_info"": {""clock"": ""Center"", ""lanterns"": [""Left"", ""Right""], ""decorative elements"": [""Above clock"", ""Below clock""]}}, ""confidence"": 0.9432505039027597, ""recognition_status"": ""success"", ""processing_time"": 9.005870580673218}","Definition: In this task, draw tight bounding boxes around the ""Clock"" and ""Lanterns"".
Emphasis & Caution: Focus on the centered ""Clock"" with ""Lanterns"" on the left and right.
Things to Avoid: Do not annotate ""Decorative elements"" or the sky."
33731,"{""description"": ""A skateboarder performs a trick over a large rock on an urban street at night."", ""details"": {""objects"": [""Skateboarder"", ""Skateboard"", ""Large rock"", ""Street"", ""Traffic lights"", ""Buildings"", ""Street signs"", ""Cars"", ""Trees"", ""Sidewalk""], ""scene"": ""Urban street"", ""spatial_info"": {""Skateboarder"": ""In mid-air, above the rock"", ""Skateboard"": ""Underneath the skateboarder's feet"", ""Large rock"": ""On the sidewalk, serving as a jump"", ""Street"": ""Visible in the background"", ""Traffic lights"": ""Green, indicating go"", ""Buildings"": ""Line the street, suggesting a city environment"", ""Street signs"": ""Visible near the traffic lights"", ""Cars"": ""Stationed or moving along the street"", ""Trees"": ""Line the street, adding to the urban landscape"", ""Sidewalk"": ""Where the rock is located""}}, ""confidence"": 0.9383583648139331, ""recognition_status"": ""success"", ""processing_time"": 18.35277009010315}","Definition: In this task, draw tight bounding boxes around the ""Skateboarder"" and ""Skateboard"".
Emphasis & Caution: Focus on the ""Skateboarder"" in mid-air above the ""Large rock"".
Things to Avoid: Do not annotate ""Street"", ""Traffic lights"", ""Buildings"", ""Cars"", ""Trees"", or ""Sidewalk""."
33909,"{""description"": ""A small bathroom featuring a toilet, bathtub, and tiled walls with a shower curtain partially drawn."", ""details"": {""objects"": [""toilet"", ""bathtub"", ""shower curtain"", ""tile wall"", ""faucet"", ""tile floor""], ""scene"": ""indoor scene"", ""spatial_info"": {""toilet"": ""left side of the image"", ""bathtub"": ""center-right"", ""shower curtain"": ""curved from top-left to middle-right"", ""tile wall"": ""surrounding the bathtub and toilet"", ""tile floor"": ""visible at the bottom right corner""}}, ""confidence"": 0.9375521461032268, ""recognition_status"": ""success"", ""processing_time"": 12.085826396942139}","Definition: In this task, draw tight bounding boxes around the ""toilet"" and ""bathtub"".
Emphasis & Caution: Focus on the main fixtures: ""toilet"" on the left and ""bathtub"" on the center-right.
Things to Avoid: Do not annotate ""tile wall"", ""tile floor"", ""shower curtain"", or ""faucet""."
34141,"{""description"": ""A giraffe stands amidst sparse vegetation under a clear blue sky."", ""details"": {""objects"": [""giraffe"", ""trees"", ""grass"", ""sky""], ""scene"": ""wilderness"", ""spatial_info"": {""giraffe"": ""center"", ""trees"": ""surrounding"", ""grass"": ""ground"", ""sky"": ""background""}}, ""confidence"": 0.9740962656350357, ""recognition_status"": ""success"", ""processing_time"": 7.367204189300537}","Definition: In this task, draw tight bounding boxes around the ""giraffe"".
Emphasis & Caution: Focus on the ""giraffe"" at the center.
Things to Avoid: Do not annotate ""trees"", ""grass"", or ""sky""."
34428,"{""description"": ""A snowboarder is captured mid-action on a snowy slope, surrounded by a forested backdrop."", ""details"": {""objects"": [""Snowboarder wearing a green jacket, black pants, gloves, and goggles"", ""Snowboard"", ""Snow-covered ground"", ""Forest trees in the background""], ""scene"": ""Outdoor winter scene"", ""spatial_info"": {""snowboarder"": ""Center of the image, slightly angled to the left"", ""snowboard"": ""Attached to the snowboarder's feet, positioned horizontally"", ""ground"": ""Covered in snow, extending towards the horizon"", ""trees"": ""Line the background, creating a natural border""}}, ""confidence"": 0.9366510410082747, ""recognition_status"": ""success"", ""processing_time"": 10.508244514465332}","Definition: In this task, draw tight bounding boxes around the ""Snowboarder wearing a green jacket, black pants, gloves, and goggles"" and the ""Snowboard"".
Emphasis & Caution: Focus on the ""Snowboarder wearing a green jacket, black pants, gloves, and goggles"" in the center.
Things to Avoid: Do not annotate ""Snow-covered ground"" or ""Forest trees in the background""."
34629,"{""description"": ""A horse is seen exiting a small structure, with another horse standing nearby under a tree."", ""details"": {""objects"": [""Horse"", ""Small structure"", ""Tree"", ""Column""], ""scene"": ""Rural outdoor setting"", ""spatial_info"": {""Horse"": {""position"": ""Exiting structure"", ""orientation"": ""Moving forward""}, ""Small structure"": {""position"": ""Left side of image"", ""features"": [""Column"", ""Roof""]}, ""Tree"": {""position"": ""Right side of image"", ""features"": [""Leaves""]}, ""Column"": {""position"": ""In front of structure"", ""features"": [""Concrete""]}}}, ""confidence"": 0.9313667779231147, ""recognition_status"": ""success"", ""processing_time"": 12.109763145446777}","Definition: In this task, draw tight bounding boxes around all ""Horse"".
Emphasis & Caution: Focus on ""Horse"" exiting the structure and standing nearby.
Things to Avoid: Do not annotate ""Small structure"", ""Tree"", or ""Column""."
34854,"{""description"": ""A meal consisting of a sandwich, avocado slices, red onion, a lime wedge, and a bowl of soup on a metal plate."", ""details"": {""objects"": [""sandwich"", ""avocado slices"", ""red onion"", ""lime wedge"", ""bowl of soup"", ""metal plate""], ""scene"": ""indoor scene"", ""spatial_info"": {""sandwich"": ""left side of the plate"", ""avocado slices"": ""center-right of the plate"", ""red onion"": ""on top of the avocado slices"", ""lime wedge"": ""next to the avocado slices"", ""bowl of soup"": ""top-left of the plate"", ""metal plate"": ""entire surface""}}, ""confidence"": 0.958292767991613, ""recognition_status"": ""success"", ""processing_time"": 11.040653944015503}","Definition: In this task, draw tight bounding boxes around the ""sandwich"" and the ""bowl of soup"".
Emphasis & Caution: -
Things to Avoid: Do not annotate ""avocado slices"", ""red onion"", ""lime wedge"", or ""metal plate""."
35105,"{""description"": ""A red fire hydrant is prominently placed on a grassy sidewalk next to a street, with a small business building labeled 'ASE Print' in the background."", ""details"": {""objects"": [""Red fire hydrant"", ""Grass"", ""Sidewalk"", ""Street"", ""Business building"", ""Signboard"", ""Cars"", ""Bushes"", ""Trees"", ""Utility poles""], ""scene"": ""Urban street"", ""spatial_info"": {""fire_hydrant"": ""Center-left"", ""sidewalk"": ""Center"", ""street"": ""Right"", ""business_building"": ""Background"", ""signboard"": ""Attached to building"", ""cars"": ""Background, parked"", ""bushes"": ""Behind hydrant"", ""trees"": ""Background, right side"", ""utility_poles"": ""Scattered throughout""}}, ""confidence"": 0.9430150808249474, ""recognition_status"": ""success"", ""processing_time"": 13.347743034362793}","Definition: In this task, draw tight bounding boxes around the ""Red fire hydrant"".
Emphasis & Caution: Focus on the ""Red fire hydrant"" at center-left.
Things to Avoid: Do not annotate ""Grass"", ""Sidewalk"", ""Street"", ""Business building"", ""Cars"", ""Bushes"", ""Trees"", or ""Utility poles""."
35361,"{""description"": ""A person is gently holding and examining a baby wrapped in a towel, with various bathroom items visible in the background."", ""details"": {""objects"": [""Person"", ""Baby"", ""Towel"", ""Bathroom counter"", ""Toiletries"", ""Basket"", ""Mirror""], ""scene"": ""Indoor scene"", ""spatial_info"": {""Person"": ""Foreground, leaning over the counter"", ""Baby"": ""Wrapped in towel, being held by the person"", ""Bathroom counter"": ""Foreground, white surface"", ""Toiletries"": ""On the counter, including bottles and a basket"", ""Basket"": ""Left side of the counter"", ""Mirror"": ""Background, reflecting part of the room""}}, ""confidence"": 0.9329178181123334, ""recognition_status"": ""success"", ""processing_time"": 11.514116764068604}","Definition: In this task, draw tight bounding boxes around the ""Person"" and the ""Baby"".
Emphasis & Caution: Focus on the ""Baby"" wrapped in a ""Towel"" and held by the ""Person"".
Things to Avoid: Do not annotate ""Bathroom counter"", ""Toiletries"", ""Basket"", or ""Mirror""."
35580,"{""description"": ""Three skiers dressed in colorful winter gear stand on a snowy slope under a clear blue sky."", ""details"": {""objects"": [""Skiers wearing helmets, ski jackets, and pants"", ""Ski poles"", ""Snow-covered ground"", ""Clear blue sky""], ""scene"": ""Outdoor winter scene"", ""spatial_info"": {""skiers"": [""left"", ""center"", ""right""], ""sky"": ""background"", ""ground"": ""foreground""}}, ""confidence"": 0.9489804250620607, ""recognition_status"": ""success"", ""processing_time"": 8.012205123901367}","Definition: In this task, draw tight bounding boxes around all ""Skiers wearing helmets, ski jackets, and pants"".
Emphasis & Caution: Focus on the three skiers positioned left, center, and right.
Things to Avoid: Do not annotate ""Ski poles"", ""Snow-covered ground"", or ""Clear blue sky""."
35825,"{""description"": ""A woman is playing a video game using a Wii remote in a cozy, lived-in living room."", ""details"": {""objects"": [""woman holding a Wii remote"", ""black couch with floral pillows"", ""dark blue armchair"", ""wooden cabinet with glass doors"", ""wall-mounted picture frames"", ""curtains with patterned designs"", ""flower arrangement on the floor"", ""wooden flooring"", ""lamp on the wall""], ""scene"": ""indoor scene"", ""spatial_info"": {""woman"": ""standing near the center of the room"", ""couch"": ""on the right side of the image"", ""armchair"": ""on the left side of the image"", ""cabinet"": ""against the back wall"", ""curtains"": ""covering the window on the right"", ""flowers"": ""in the foreground on the left"", ""lamp"": ""attached to the wall above the armchair""}}, ""confidence"": 0.9326886636673469, ""recognition_status"": ""success"", ""processing_time"": 13.994907140731812}","Definition: In this task, draw tight bounding boxes around the ""woman holding a Wii remote"".
Emphasis & Caution: Focus on the woman standing near the center.
Things to Avoid: Do not annotate ""black couch with floral pillows"", ""dark blue armchair"", ""wooden cabinet with glass doors"", or other room items."
36049,"{""description"": ""Two workers wearing safety vests stand on railway tracks near a train, with another worker seated nearby."", ""details"": {""objects"": [""railway tracks"", ""train"", ""workers wearing safety vests"", ""signal lights"", ""platform edge""], ""scene"": ""railway station"", ""spatial_info"": {""railway tracks"": ""central focus, extending horizontally across the image"", ""train"": ""on the right side, partially visible"", ""workers"": ""standing and sitting on the tracks"", ""signal lights"": ""between the workers and the train"", ""platform edge"": ""on the left side, partially visible""}}, ""confidence"": 0.9214601340356461, ""recognition_status"": ""success"", ""processing_time"": 9.910633087158203}","Definition: In this task, draw tight bounding boxes around all ""workers wearing safety vests"".
Emphasis & Caution: Focus on workers standing and sitting on the tracks.
Things to Avoid: Do not annotate ""railway tracks"", ""train"", ""signal lights"", or ""platform edge""."
36322,"{""description"": ""A young boy is sitting on a couch, holding and eating a chocolate-covered donut."", ""details"": {""objects"": [""Young boy"", ""Chocolate-covered donut"", ""Couch"", ""Red object (possibly a toy or controller)""], ""scene"": ""Indoor scene"", ""spatial_info"": {""Boy"": ""Sitting on a couch"", ""Donut"": ""Held in the boy's hands"", ""Red object"": ""Placed on the couch behind the boy""}}, ""confidence"": 0.9556216363132781, ""recognition_status"": ""success"", ""processing_time"": 8.356627225875854}","Definition: In this task, draw tight bounding boxes around the ""Young boy"".
Emphasis & Caution: Focus on the ""Young boy"" sitting on the couch.
Things to Avoid: Do not annotate ""Chocolate-covered donut"", ""Couch"", or ""Red object (possibly a toy or controller)""."
36528,"{""description"": ""A black-and-white photograph of a vintage aircraft parked on a tarmac under a cloudy sky."", ""details"": {""objects"": [""vintage aircraft"", ""propeller"", ""cockpit"", ""cloudy sky"", ""tarmac""], ""scene"": ""outdoor aviation setting"", ""spatial_info"": {""aircraft"": ""centered in the frame, angled slightly to the left"", ""propeller"": ""attached to the front of the aircraft, partially visible"", ""cockpit"": ""located at the front of the aircraft, open"", ""cloudy sky"": ""overhead, creating a dramatic backdrop"", ""tarmac"": ""ground beneath the aircraft, visible in the lower part of the image""}}, ""confidence"": 0.9360493470743253, ""recognition_status"": ""success"", ""processing_time"": 11.429779767990112}","Definition: In this task, draw tight bounding boxes around all ""vintage aircraft"".
Emphasis & Caution: Centered in the frame, angled slightly to the left.
Things to Avoid: Do not annotate ""cloudy sky"" or ""tarmac""."
36773,"{""description"": ""A tennis player is in action on a grass court, preparing to hit the ball during a match."", ""details"": {""objects"": [""Tennis player"", ""Tennis racket"", ""Tennis ball"", ""Grass court"", ""Umpire"", ""Line judge""], ""scene"": ""Outdoor tennis match"", ""spatial_info"": {""Tennis player"": ""In the foreground, positioned on the grass court, actively engaged in play."", ""Tennis racket"": ""Held by the player, extended forward as they prepare to strike the ball."", ""Tennis ball"": ""Visible in mid-air near the player's racket."", ""Grass court"": ""The surface where the match is taking place."", ""Umpire"": ""Positioned behind the player, wearing a white jacket and cap, observing the game."", ""Line judge"": ""Standing further back, dressed in dark attire, monitoring the match.""}}, ""confidence"": 0.9371237355061198, ""recognition_status"": ""success"", ""processing_time"": 14.011178016662598}","Definition: In this task, draw tight bounding boxes around all ""Tennis player"".
Emphasis & Caution: In the foreground, actively engaged in play.
Things to Avoid: Do not annotate ""Grass court"", ""Umpire"", or ""Line judge""."
37017,"{""description"": ""A close-up of a black dog wearing a red collar, looking up at someone off-camera in a home setting."", ""details"": {""objects"": [""black dog"", ""red collar"", ""yellow tag"", ""kitchen appliances"", ""wooden cabinet"", ""trash can"", ""door"", ""person's leg""], ""scene"": ""indoor scene"", ""spatial_info"": {""dog"": ""center"", ""kitchen appliances"": ""left background"", ""wooden cabinet"": ""left background"", ""trash can"": ""background"", ""door"": ""background"", ""person's leg"": ""right side""}}, ""confidence"": 0.9539517921116254, ""recognition_status"": ""success"", ""processing_time"": 10.5504891872406}","Definition: In this task, draw tight bounding boxes around all ""black dog"".
Emphasis & Caution: Wearing a ""red collar"" with a ""yellow tag"".
Things to Avoid: Do not annotate ""kitchen appliances"", ""wooden cabinet"", ""trash can"", ""door"", or ""person's leg""."
37286,"{""description"": ""A group of people, likely runners or participants in an event, are gathered near a table filled with bananas, possibly for refreshment during an outdoor activity."", ""details"": {""objects"": [""People"", ""Bananas"", ""Table"", ""Penske Truck Rental truck"", ""Tents"", ""Buildings"", ""Fence""], ""scene"": ""Outdoor event"", ""spatial_info"": {""People"": ""Foreground"", ""Bananas"": ""On table"", ""Penske Truck Rental truck"": ""Background"", ""Tents"": ""Background"", ""Buildings"": ""Background"", ""Fence"": ""Between people and truck""}}, ""confidence"": 0.9409030300328315, ""recognition_status"": ""success"", ""processing_time"": 10.559260845184326}","Definition: In this task, draw tight bounding boxes around all ""People"".
Emphasis & Caution: In the foreground near the table.
Things to Avoid: Do not annotate ""Bananas"", ""Table"", ""Penske Truck Rental truck"", ""Tents"", ""Buildings"", or ""Fence""."
37616,"{""description"": ""A man is standing in a living room, interacting with a gaming console or similar device."", ""details"": {""objects"": [""Man wearing glasses and a beige jacket"", ""Wooden entertainment center with shelves containing speakers, CDs, and decorative items"", ""Coffee table with a few items on it"", ""Mirror on the wall"", ""Box labeled 'Sunbeam'"", ""Furniture including a couch and an ottoman""], ""scene"": ""Indoor scene"", ""spatial_info"": {""Man"": ""Left side of the image, facing right"", ""Entertainment center"": ""Center-right of the image"", ""Coffee table"": ""Behind the entertainment center"", ""Mirror"": ""Right side of the image"", ""Box"": ""On the floor near the couch"", ""Furniture"": ""Foreground, including a couch and ottoman""}}, ""confidence"": 0.9298877756825183, ""recognition_status"": ""success"", ""processing_time"": 12.689445734024048}","Definition: In this task, draw tight bounding boxes around all ""Man wearing glasses and a beige jacket"".
Emphasis & Caution: On the left side of the image, facing right.
Things to Avoid: Do not annotate ""Wooden entertainment center with shelves containing speakers, CDs, and decorative items"", ""Coffee table with a few items on it"", ""Mirror on the wall"", ""Box labeled 'Sunbeam'"", or ""Furniture including a couch and an ottoman""."
37847,"{""description"": ""Two individuals are engaged in wine tasting, each holding a glass of red wine."", ""details"": {""objects"": [""two people"", ""wine glasses"", ""red wine"", ""outdoor setting""], ""scene"": ""outdoor scene"", ""spatial_info"": {""people"": [""man on left"", ""woman on right""], ""wine glasses"": [""in front of man"", ""in front of woman""], ""background"": [""greenery"", ""building""]}}, ""confidence"": 0.9429531567935618, ""recognition_status"": ""success"", ""processing_time"": 7.987352132797241}","Definition: In this task, draw tight bounding boxes around all ""two people"".
Emphasis & Caution: Man on left, woman on right.
Things to Avoid: Do not annotate ""wine glasses"", ""red wine"", or ""outdoor setting""."
38083,"{""description"": ""A vibrant display of fresh vegetables and fruits arranged on a table, showcasing a variety of colors and textures."", ""details"": {""objects"": [""strawberries"", ""broccoli"", ""green beans"", ""carrots"", ""potatoes"", ""radishes"", ""cucumbers"", ""parsley"", ""green onions""], ""scene"": ""indoor scene"", ""spatial_info"": {""strawberries"": [""left basket""], ""broccoli"": [""center-left""], ""green beans"": [""center""], ""carrots"": [""right""], ""potatoes"": [""right""], ""radishes"": [""center-right""], ""cucumbers"": [""top-center""], ""parsley"": [""top-left""], ""green onions"": [""top""]}}, ""confidence"": 0.9611218266089127, ""recognition_status"": ""success"", ""processing_time"": 12.211856126785278}","Definition: In this task, draw tight bounding boxes around all ""strawberries"", ""broccoli"", ""green beans"", ""carrots"", ""potatoes"", ""radishes"", ""cucumbers"", ""parsley"", and ""green onions"".
Emphasis & Caution: -
Things to Avoid: -"
38355,"{""description"": ""A red-winged blackbird perched on a wooden railing against a blurred background."", ""details"": {""objects"": [""red-winged blackbird"", ""wooden railing"", ""blurred background""], ""scene"": ""outdoor scene"", ""spatial_info"": {""red-winged blackbird"": ""center"", ""wooden railing"": ""bottom"", ""blurred background"": ""top""}}, ""confidence"": 0.9740785595448129, ""recognition_status"": ""success"", ""processing_time"": 7.080639839172363}","Definition: In this task, draw tight bounding boxes around all ""red-winged blackbird"".
Emphasis & Caution: Center.
Things to Avoid: Do not annotate ""wooden railing"" or ""blurred background""."
