Header,Description,Instruction
45148,"{""description"": ""A smiling young man in a blue shirt leans on a bakery counter behind a glass display case filled with pastries, with a menu and posters on the wall behind him."", ""details"": {""objects"": [""young man"", ""blue shirt"", ""glass display case"", ""pastries"", ""menu board"", ""posters"", ""clock"", ""refrigerator"", ""baskets"", ""glasses""], ""scene"": ""indoor scene"", ""spatial_info"": {""young man"": ""centered, leaning on the counter"", ""glass display case"": ""in front of the young man, filled with pastries"", ""menu board"": ""above the young man, mounted on the wall"", ""posters"": ""on the wall behind the young man"", ""clock"": ""on the wall, above the young man's left shoulder"", ""refrigerator"": ""on the left side of the image, behind the counter"", ""baskets"": ""on the counter, one with bananas""}}}","Definition: In this task, draw bounding boxes around the young man and the glass display case.
Emphasis & Caution: young man centered, wearing blue shirt, leaning on the counter; glass display case in front of him filled with pastries.
Things to Avoid: menu board, posters, clock, refrigerator, baskets, glasses, pastries."
45383,"{""description"": ""A rustic stone wall with a wooden-framed window, displaying a row of colorful hand-painted ceramic pots and a potted plant with green leaves and pink flowers on the windowsill."", ""details"": {""objects"": [""ceramic pots"", ""potted plant"", ""stone wall"", ""wooden window frame"", ""window bars""], ""scene"": ""outdoor scene"", ""spatial_info"": {""ceramic pots"": ""arranged in a row on the windowsill, from left to right: a large red pot with swirls, a smaller orange pot, a green and gold patterned pot, and a dark blue and gold pot"", ""potted plant"": ""on the far left of the windowsill, with green leaves and pink flowers"", ""stone wall"": ""forms the background and sides of the image, constructed from irregularly shaped gray stones"", ""wooden window frame"": ""above the window, with a dark brown finish"", ""window bars"": ""vertical metal bars visible inside the window""}}}","Definition: In this task, draw bounding boxes around the ceramic pots and the potted plant.
Emphasis & Caution: Ceramic pots arranged in a row on the windowsill; potted plant on the far left with green leaves and pink flowers.
Things to Avoid: stone wall, wooden window frame, window bars."
45587,"{""description"": ""Three people and a dog are in the ocean, with two individuals on surfboards and one person swimming, all wearing wetsuits."", ""details"": {""objects"": [""person on surfboard"", ""person swimming"", ""dog on surfboard"", ""surfboard"", ""wetsuit"", ""ocean waves""], ""scene"": ""ocean scene"", ""spatial_info"": {""person on surfboard (right)"": ""sitting on a white surfboard with red trim, facing left, wearing a black and red wetsuit"", ""person swimming (left)"": ""swimming in the water, partially submerged, wearing a wetsuit"", ""dog on surfboard (center)"": ""lying on a surfboard, wearing a black harness, positioned between the two people"", ""person in background (center)"": ""floating in the water, wearing a black wetsuit, behind the dog and surfboard""}}}","Definition: In this task, draw bounding boxes around person on surfboard, person swimming, dog on surfboard, and person in background (center).
Emphasis & Caution: person on surfboard (right) sitting on a white surfboard with red trim; dog on surfboard (center) lying with black harness; person swimming (left) partially submerged.
Things to Avoid: ocean waves, surfboard, wetsuit."
45836,"{""description"": ""Two teddy bears, one white and one brown, are sitting side by side on a soft surface, each wearing a colorful knitted scarf."", ""details"": {""objects"": [""white teddy bear"", ""brown teddy bear"", ""colorful knitted scarves""], ""scene"": ""indoor scene"", ""spatial_info"": {""white_teddy_bear"": ""on the left side of the image"", ""brown_teddy_bear"": ""on the right side of the image"", ""scarves"": ""wrapped around the necks of both teddy bears""}}}","Definition: In this task, draw bounding boxes around the white teddy bear and the brown teddy bear.
Emphasis & Caution: White teddy bear on the left side of the image; brown teddy bear on the right side of the image; colorful knitted scarves wrapped around their necks.
Things to Avoid: Soft surface; indoor scene."
46090,"{""description"": ""A fluffy white cat lounges on a wooden desk next to a green plate with a sandwich and a bottle of Gatorade, with a computer monitor in the background."", ""details"": {""objects"": [""cat"", ""sandwich"", ""Gatorade bottle"", ""green plate"", ""computer monitor"", ""desk""], ""scene"": ""indoor scene"", ""spatial_info"": {""cat"": ""center-right, lying down on the desk"", ""sandwich"": ""on the green plate, left side of the image"", ""Gatorade bottle"": ""left side of the image, next to the plate"", ""green plate"": ""bottom-left, holding the sandwich"", ""computer monitor"": ""top-center, behind the cat""}}}","Definition: In this task, draw bounding boxes around the cat, sandwich, and Gatorade bottle.
Emphasis & Caution: Fluffy white cat at center-right lying on the desk; sandwich on green plate at left side; Gatorade bottle next to the plate on the left.
Things to Avoid: green plate, computer monitor, desk."
46329,"{""description"": ""A skateboarder in a plaid shirt and red beanie performs a trick on a stair set while a crowd of spectators watches from above."", ""details"": {""objects"": [""skateboarder"", ""skateboard"", ""stairs"", ""crowd of spectators"", ""handrails"", ""indoor setting""], ""scene"": ""indoor scene"", ""spatial_info"": {""skateboarder"": ""in the foreground, mid-air performing a trick on a skateboard near the stairs"", ""skateboard"": ""under the skateboarder's feet, angled as if in motion"", ""stairs"": ""in the lower right, with the skateboarder positioned near the edge"", ""crowd of spectators"": ""on an upper level behind a handrail, leaning forward to watch"", ""handrails"": ""metal railings along the upper level where spectators are standing""}}}","Definition: In this task, draw bounding boxes around the skateboarder, skateboard, and crowd of spectators.
Emphasis & Caution: Skateboarder mid-air near the stairs; skateboard under the skateboarder’s feet; crowd of spectators on upper level behind a handrail.
Things to Avoid: stairs, handrails, indoor setting."
46580,"{""description"": ""A person is lying in bed, wrapped in blankets, reading a book titled 'Self-Reliance' under dim, moody lighting."", ""details"": {""objects"": [""person"", ""book"", ""blankets"", ""beanie"", ""bed""], ""scene"": ""indoor scene"", ""spatial_info"": {""person"": ""lying on their back on a bed, holding a book open with both hands"", ""book"": ""held in front of the person's face, open and facing upward"", ""blankets"": ""draped over the person and bed, in shades of blue and red"", ""beanie"": ""worn on the person's head"", ""bed"": ""occupies the lower half of the frame, with pillows and bedding visible""}}}","Definition: In this task, draw bounding boxes around the person and book.
Emphasis & Caution: Person lying on a bed wearing a beanie; book held open in front of the face; dim lighting.
Things to Avoid: blankets, bed, pillows, bedding."
46883,"{""description"": ""A close-up view of a yellow traffic light suspended between two tall buildings in an urban setting, with the green light illuminated."", ""details"": {""objects"": [""traffic light"", ""buildings"", ""pole""], ""scene"": ""urban street"", ""spatial_info"": {""traffic light"": ""centered in the frame, hanging from a pole"", ""buildings"": ""flanking the traffic light on both sides, one with glass windows and one with brick facade"", ""pole"": ""supporting the traffic light, extending upward from behind it""}}}","Definition: In this task, draw bounding boxes around the traffic light.
Emphasis & Caution: Yellow traffic light centered in the frame with the green light illuminated.
Things to Avoid: buildings, pole."
47173,"{""description"": ""Two women are joyfully playing a video game together indoors, holding controllers and smiling at the camera."", ""details"": {""objects"": [""two women"", ""video game controllers"", ""patterned clothing"", ""wall with floral design""], ""scene"": ""indoor scene"", ""spatial_info"": [""The woman on the left is positioned slightly in front, holding a controller with her right hand."", ""The woman on the right is leaning forward, holding a controller with both hands, and appears to be actively engaged."", ""Both women are facing forward, toward the camera, with their bodies angled slightly toward each other."", ""The background includes a wall with a floral pattern and a dark vertical element, possibly a door or window frame.""]}}","Definition: In this task, draw bounding boxes around two women and video game controllers.
Emphasis & Caution: The woman on the left is slightly in front holding a controller with her right hand; the woman on the right is leaning forward holding a controller with both hands; both are facing forward.
Things to Avoid: wall with floral design; dark vertical element (door or window frame)."
47395,"{""description"": ""A white 'BUS ROUTE' sign with a left-pointing arrow is mounted on a black pole in front of a brown brick building with multiple windows, near a traffic light and a street."", ""details"": {""objects"": [""BUS ROUTE sign"", ""black pole"", ""brown brick building"", ""windows"", ""traffic light"", ""street"", ""grass""], ""scene"": ""urban street"", ""spatial_info"": {""BUS ROUTE sign"": ""mounted on black pole, in foreground"", ""black pole"": ""vertical, in foreground, holding the sign"", ""brown brick building"": ""in background, behind the pole and sign"", ""windows"": ""on the building, multiple, rectangular, some with curtains"", ""traffic light"": ""top left, above the building"", ""street"": ""at bottom, paved, with white lines"", ""grass"": ""strip along the sidewalk, between building and street""}}}","Definition: In this task, draw bounding boxes around the BUS ROUTE sign and the black pole.
Emphasis & Caution: Focus on the white BUS ROUTE sign with a left-pointing arrow mounted on a vertical black pole in the foreground.
Things to Avoid: Do not annotate the brown brick building, windows, traffic light, street, or grass."
47617,"{""description"": ""A highway stretches into the distance under a clear blue sky, flanked by snow-dusted plains and distant snow-capped mountains, with two trucks traveling ahead."", ""details"": {""objects"": [""trucks"", ""highway"", ""mountains"", ""snow"", ""trees"", ""sky""], ""scene"": ""open road scene"", ""spatial_info"": {""trucks"": [{""type"": ""yellow truck"", ""position"": ""center-right, driving away from camera""}, {""type"": ""white truck"", ""position"": ""left side, further in the distance""}], ""mountains"": ""in the background, snow-capped and stretching across the horizon"", ""snow"": ""covering the ground on both sides of the road and the mountain peaks"", ""trees"": ""scattered along the roadside and at the base of the mountains"", ""sky"": ""clear and blue, occupying the upper half of the image""}}}","Definition: In this task, draw bounding boxes around the yellow truck and the white truck.
Emphasis & Caution: Yellow truck at center-right driving away; white truck on the left side further in the distance.
Things to Avoid: highway, mountains, snow, trees, sky."
47807,"{""description"": ""A partially peeled banana with sliced pieces scattered on a wooden cutting board, with a knife nearby."", ""details"": {""objects"": [""banana"", ""knife"", ""wooden cutting board"", ""banana slices""], ""scene"": ""indoor scene"", ""spatial_info"": {""banana"": ""centered on the cutting board, partially peeled with the peel curled around it"", ""banana slices"": ""scattered around the banana, both near the peel and on the right side of the board"", ""knife"": ""positioned to the right of the banana, blade pointing toward the top right corner"", ""cutting board"": ""occupies the entire foreground, with a dark background behind it""}}}","Definition: In this task, draw bounding boxes around the banana, banana slices, and knife.
Emphasis & Caution: Banana centered and partially peeled; banana slices scattered around it; knife on the right with blade pointing toward the top right corner.
Things to Avoid: wooden cutting board; dark background."
48063,"{""description"": ""A low-angle view of an ancient stone clock tower with a pointed spire and ornate architectural details against a clear blue sky."", ""details"": {""objects"": [""clock tower"", ""clock face"", ""Roman numerals"", ""arched windows"", ""spire"", ""cross"", ""stone masonry""], ""scene"": ""outdoor scene"", ""spatial_info"": {""clock tower"": ""central, towering over the frame"", ""clock face"": ""on the lower section of the tower, facing the viewer"", ""spire"": ""at the top of the tower, pointing upward"", ""cross"": ""on the very peak of the spire"", ""arched windows"": ""on the upper levels of the tower"", ""stone masonry"": ""forms the entire structure, visible throughout""}}}","Definition: In this task, draw bounding boxes around the clock tower.
Emphasis & Caution: Central, towering over the frame; pointed spire at the top; clear blue sky background.
Things to Avoid: Do not draw bounding boxes around the clear blue sky."
48287,"{""description"": ""A person is captured mid-motion throwing a frisbee in a park, with trees and grass in the background."", ""details"": {""objects"": [""person"", ""frisbee"", ""trees"", ""grass""], ""scene"": ""outdoor park"", ""spatial_info"": {""person"": ""in the foreground, leaning forward with one leg extended, throwing a frisbee"", ""frisbee"": ""in mid-air to the left of the person"", ""trees"": ""in the background, behind the person"", ""grass"": ""covering the ground throughout the scene""}}}","Definition: In this task, draw bounding boxes around the person and the frisbee.
Emphasis & Caution: Person in the foreground leaning forward with one leg extended; frisbee in mid-air to the left of the person.
Things to Avoid: trees, grass."
48601,"{""description"": ""A pair of scissors with the word 'Congratulations!' engraved on the blade rests on a sheet of lined notebook paper, set against a wooden surface."", ""details"": {""objects"": [""scissors"", ""notebook paper"", ""wooden surface""], ""scene"": ""indoor scene"", ""spatial_info"": {""scissors"": ""centered, lying diagonally across the notebook paper"", ""notebook paper"": ""underneath the scissors, occupying the lower right portion of the frame"", ""wooden surface"": ""in the upper left background, partially visible behind the paper""}}}","Definition: In this task, draw bounding boxes around the scissors.
Emphasis & Caution: Centered, lying diagonally across the notebook paper; engraved with the word ""Congratulations!"".
Things to Avoid: notebook paper, wooden surface."
48795,"{""description"": ""A book titled 'Our Crowd' rests on a wooden bench with a note attached, indicating it has been 'BookCrossing'ed and is available for others to find and read."", ""details"": {""objects"": [""book"", ""wooden bench"", ""note"", ""fallen leaves"", ""shadow""], ""scene"": ""outdoor park bench"", ""spatial_info"": {""book"": ""centered on the bench, leaning against the slats"", ""note"": ""attached to the front cover of the book"", ""bench"": ""wooden slatted bench with a gray plastic armrest on the right"", ""leaves"": ""scattered on the bench surface near the armrest"", ""shadow"": ""cast by the bench and book, indicating sunlight from the upper left""}}}","Definition: In this task, draw bounding boxes around the book and the note.
Emphasis & Caution: Book centered on the wooden bench; note attached to the front cover.
Things to Avoid: wooden bench, fallen leaves, shadow."
49062,"{""description"": ""An orange tabby cat is lounging on a blue wooden bench with a green plant in the background."", ""details"": {""objects"": [""cat"", ""bench"", ""plant""], ""scene"": ""outdoor scene"", ""spatial_info"": {""cat"": ""centered on the bench, lying down with its head raised"", ""bench"": ""blue wooden bench with slatted design, occupies most of the frame"", ""plant"": ""green leafy plant behind the bench, partially visible in the background""}}}","Definition: In this task, draw bounding boxes around the cat.
Emphasis & Caution: Orange tabby cat centered on the bench, lying down with its head raised.
Things to Avoid: bench, plant."
49327,"{""description"": ""A black-and-white photograph of a bustling urban street with pedestrians, cyclists, and a skateboarder, framed by historic architecture and street lamps."", ""details"": {""objects"": [""skateboarder"", ""cyclists"", ""pedestrians"", ""buildings"", ""street lamps"", ""tram tracks"", ""trees"", ""street signs"", ""awning"", ""street vendor tent""], ""scene"": ""urban street"", ""spatial_info"": {""skateboarder"": ""in the foreground, moving towards the right side of the frame"", ""cyclists"": ""in the middle ground, riding on the street"", ""pedestrians"": ""scattered throughout the scene, walking on sidewalks and crossing the street"", ""buildings"": ""lining both sides of the street, with ornate facades on the right"", ""street lamps"": ""mounted along the street, curving over the road"", ""tram tracks"": ""running down the center of the street"", ""trees"": ""on the left side and behind the buildings"", ""street signs"": ""visible on poles near the sidewalk"", ""awning"": ""on the building facade on the right"", ""street vendor tent"": ""in the middle ground, near the center of the street""}}}","Definition: In this task, draw bounding boxes around skateboarder, cyclists, and pedestrians.
Emphasis & Caution: Skateboarder in the foreground moving towards the right; cyclists in the middle ground on the street; pedestrians scattered on sidewalks and crossing the street.
Things to Avoid: buildings, street lamps, tram tracks, trees, street signs, awning, street vendor tent."
49603,"{""description"": ""A person walks past a red train car adorned with large graffiti art on a station platform."", ""details"": {""objects"": [""person"", ""train"", ""graffiti"", ""platform"", ""windows""], ""scene"": ""urban train station"", ""spatial_info"": {""person"": ""walking from right to left in the foreground"", ""train"": ""stationary, occupying the background and middle ground"", ""graffiti"": ""on the side of the train, prominently featuring large stylized letters"", ""platform"": ""in the foreground, with tiled and cobblestone surfaces""}}}","Definition: In this task, draw bounding boxes around the person and the train.
Emphasis & Caution: Person walking from right to left in the foreground; red train with large graffiti in the background and middle ground.
Things to Avoid: graffiti, platform, windows."
49881,"{""description"": ""Two men are riding a motorcycle on a road, with one driving and the other sitting behind him, both appearing to be in motion."", ""details"": {""objects"": [""motorcycle"", ""driver"", ""passenger"", ""helmet"", ""road"", ""signs"", ""trees"", ""mountains""], ""scene"": ""urban street"", ""spatial_info"": {""motorcycle"": ""center of image, moving forward"", ""driver"": ""front seat, wearing helmet, holding handlebars"", ""passenger"": ""back seat, wearing checkered shirt, facing forward"", ""signs"": ""in background, on right side of road"", ""trees"": ""along roadside, in background"", ""mountains"": ""distant background behind trees""}}}","Definition: In this task, draw bounding boxes around the motorcycle, driver, and passenger.
Emphasis & Caution: motorcycle at center moving forward; driver on front seat wearing helmet; passenger on back seat wearing checkered shirt.
Things to Avoid: road, signs, trees, mountains."
50151,"{""description"": ""A pair of vintage, rusted scissors is placed horizontally on a weathered wooden door, directly beneath a metal 'PULL' sign."", ""details"": {""objects"": [""scissors"", ""wooden door"", ""metal sign"", ""rust""], ""scene"": ""indoor scene"", ""spatial_info"": {""scissors"": ""centered horizontally on the door, positioned below the 'PULL' sign"", ""metal sign"": ""mounted on the upper part of the door, above the scissors"", ""wooden door"": ""serves as the background, showing signs of aging and wear""}}}","Definition: In this task, draw bounding boxes around the scissors.
Emphasis & Caution: Vintage, rusted scissors centered horizontally on the wooden door, positioned below the metal sign.
Things to Avoid: wooden door, metal sign, rust."
50385,"{""description"": ""Two men are in a cluttered indoor room, one bent over holding a Wii remote while the other stands behind him, both appearing to be engaged in an activity involving a white shelving unit."", ""details"": {""objects"": [""man standing"", ""man bending over"", ""white shelving unit"", ""Wii remote"", ""white plates"", ""plastic bin with papers"", ""wooden floor"", ""doorway"", ""clothing hanging"", ""cardboard box""], ""scene"": ""indoor scene"", ""spatial_info"": {""man standing"": ""behind the man bending over, to the right side of the image"", ""man bending over"": ""in the foreground, leaning forward toward the white shelving unit"", ""white shelving unit"": ""center-right of the image, with items on its shelves"", ""Wii remote"": ""held by the man bending over, in his right hand"", ""white plates"": ""on the top shelf of the shelving unit"", ""plastic bin with papers"": ""on the second shelf from the top of the shelving unit"", ""wooden floor"": ""covers the entire floor area"", ""doorway"": ""on the left side of the image, leading to a dark room"", ""clothing hanging"": ""visible through the doorway in the background"", ""cardboard box"": ""on the floor in the bottom right corner""}}}","Definition: In this task, draw bounding boxes around man standing and man bending over.
Emphasis & Caution: man bending over in the foreground leaning forward; man standing behind him on the right side.
Things to Avoid: white shelving unit, white plates, plastic bin with papers, wooden floor, doorway, clothing hanging, cardboard box, Wii remote."
50601,"{""description"": ""A fenced enclosure with two black pigs resting on dry grass, viewed through tangled branches and wire mesh."", ""details"": {""objects"": [""pigs"", ""fence"", ""branches"", ""concrete structure"", ""dry grass""], ""scene"": ""outdoor enclosure"", ""spatial_info"": {""pigs"": [{""position"": ""right side of image, lying down"", ""description"": ""A black pig lying on the ground near the fence.""}, {""position"": ""left side of image, partially obscured"", ""description"": ""Another black pig lying down, partially hidden by branches and grass.""}], ""fence"": {""position"": ""background and middle ground"", ""description"": ""A wire mesh fence with wooden posts, enclosing the area.""}, ""branches"": {""position"": ""foreground and middle ground"", ""description"": ""Tangled, dry branches crossing the view, partially obscuring the scene.""}, ""concrete structure"": {""position"": ""left side of image"", ""description"": ""A concrete structure, possibly a bench or base, partially visible behind the fence.""}, ""dry grass"": {""position"": ""ground level throughout"", ""description"": ""Dry, brown grass covering the ground inside the enclosure.""}}}}","Definition: In this task, draw bounding boxes around the pigs.
Emphasis & Caution: Two black pigs; one on the right side lying down, one on the left side partially obscured by branches.
Things to Avoid: fence, branches, concrete structure, dry grass."
50846,"{""description"": ""A close-up of a gourmet hot dog topped with cheese, vegetables, and sauce, served in a paper tray."", ""details"": {""objects"": [""hot dog"", ""grilled sausage"", ""cheese shreds"", ""red pepper"", ""paper tray"", ""background bowl""], ""scene"": ""indoor scene"", ""spatial_info"": {""hot dog"": ""centered in the foreground, resting in a paper tray"", ""cheese shreds"": ""covering the top of the hot dog"", ""red pepper"": ""placed on the side of the hot dog"", ""paper tray"": ""holding the hot dog, positioned diagonally across the frame"", ""background bowl"": ""out of focus in the upper left corner""}}}","Definition: In this task, draw bounding boxes around the hot dog, grilled sausage, cheese shreds, red pepper, and paper tray.
Emphasis & Caution: hot dog centered in the foreground; cheese shreds covering the top; red pepper on the side; paper tray positioned diagonally.
Things to Avoid: background bowl."
51083,"{""description"": ""A person with bright orange hair is sitting on a cluttered couch, using a laptop, surrounded by various items including a coffee table with drinks and a calendar on the wall."", ""details"": {""objects"": [""person with orange hair"", ""laptop"", ""couch"", ""coffee table"", ""drinks"", ""calendar"", ""pet carrier"", ""blankets"", ""books"", ""remote control""], ""scene"": ""indoor scene"", ""spatial_info"": {""person"": ""sitting on the couch, centered in the frame"", ""laptop"": ""on the person's lap"", ""coffee table"": ""in front of the couch, holding drinks and a remote"", ""calendar"": ""hanging on the wall to the right"", ""pet carrier"": ""on the floor to the left"", ""blankets"": ""draped over the couch and floor""}}}","Definition: In this task, draw bounding boxes around person with orange hair and laptop.
Emphasis & Caution: Bright orange hair; person sitting on the couch at the center; laptop on the person's lap.
Things to Avoid: couch, coffee table, drinks, calendar, pet carrier, blankets, books, remote control."
51324,"{""description"": ""A woman is seated on a public transit bench, talking on her phone while resting her foot on the seat beside her."", ""details"": {""objects"": [""woman"", ""phone"", ""bench"", ""handbag"", ""train car interior"", ""advertising panel""], ""scene"": ""indoor scene"", ""spatial_info"": {""woman"": ""seated on the bench, facing right, with her left leg extended and foot resting on the seat"", ""phone"": ""held to her right ear"", ""bench"": ""green patterned, located along the side of the train car"", ""handbag"": ""red and gold patterned, resting on the bench next to her"", ""advertising panel"": ""purple and white, mounted on the wall to the left of the woman""}}}","Definition: In this task, draw bounding boxes around the woman, phone, bench, and handbag.
Emphasis & Caution: woman seated facing right with left leg extended; phone held to right ear; green patterned bench; red and gold patterned handbag.
Things to Avoid: train car interior, advertising panel."
51583,"{""description"": ""A vintage-style bathroom featuring a light blue clawfoot bathtub with a white shower curtain, a white toilet, and a white vanity with a sink and mirror, set against pale yellow walls."", ""details"": {""objects"": [""clawfoot bathtub"", ""shower curtain"", ""toilet"", ""vanity"", ""sink"", ""mirror"", ""curtains"", ""rug"", ""wall outlet"", ""towel""], ""scene"": ""indoor scene"", ""spatial_info"": {""clawfoot bathtub"": ""center-right, under a shower curtain"", ""shower curtain"": ""hanging from a rod above the bathtub"", ""toilet"": ""to the left of the bathtub, next to the vanity"", ""vanity"": ""on the left side of the image, with a sink and mirror above it"", ""mirror"": ""hanging on the wall above the vanity"", ""curtains"": ""on the right side of the image, covering a window"", ""rug"": ""on the floor in front of the bathtub"", ""wall outlet"": ""on the wall near the floor, to the right of the bathtub"", ""towel"": ""hanging on the left wall, partially visible""}}}","Definition: In this task, draw bounding boxes around the clawfoot bathtub, shower curtain, toilet, vanity, sink, and mirror.
Emphasis & Caution: Light blue clawfoot bathtub at center-right under the shower curtain; toilet and vanity on the left; mirror above the vanity.
Things to Avoid: curtains, rug, wall outlet, towel."
51851,"{""description"": ""An abandoned and neglected public restroom with multiple sinks, a toilet, and a shower stall, all showing signs of disrepair and decay."", ""details"": {""objects"": [""toilet"", ""sinks"", ""shower stall"", ""mirrors"", ""dispenser"", ""chair"", ""window"", ""tiles"", ""floor""], ""scene"": ""indoor scene"", ""spatial_info"": {""toilet"": ""right side of the image, near the wall"", ""sinks"": ""center-right, mounted on the wall in a row"", ""shower stall"": ""left side, enclosed with tiled walls"", ""chair"": ""bottom-left corner, wooden with a dark finish"", ""window"": ""center-top, letting in natural light"", ""tiles"": ""covering the walls and floor, mostly beige and red"", ""mirrors"": ""above the sinks, reflecting the room""}}}","Definition: In this task, draw bounding boxes around the toilet, sinks, shower stall, and chair.
Emphasis & Caution: Toilet on the right near the wall; sinks center-right in a row; shower stall on the left with tiled walls; chair in the bottom-left corner.
Things to Avoid: mirrors, dispenser, window, tiles, floor."
52107,"{""description"": ""Three men are walking on a tennis court, viewed through a chain-link fence, with one holding a tennis racket."", ""details"": {""objects"": [""three men"", ""tennis racket"", ""chain-link fence"", ""tennis court"", ""bench"", ""green netting"", ""trees""], ""scene"": ""outdoor tennis court"", ""spatial_info"": {""men"": [{""position"": ""left"", ""description"": ""Man wearing a white sleeveless shirt and shorts, holding a tennis racket.""}, {""position"": ""middle"", ""description"": ""Man wearing a white shirt and dark shorts, walking between the other two.""}, {""position"": ""right"", ""description"": ""Man wearing a white shirt and dark shorts, walking on the right side.""}], ""fence"": ""chain-link fence in the foreground, partially obscuring the view."", ""bench"": ""Located behind the men, near the left side of the court."", ""netting"": ""Green netting behind the court, behind the fence."", ""trees"": ""Visible in the background behind the netting.""}}}","Definition: In this task, draw bounding boxes around the three men and the tennis racket.
Emphasis & Caution: Three men (left, middle, right); left man holding a tennis racket; white shirts and dark or white shorts.
Things to Avoid: chain-link fence, tennis court, bench, green netting, trees."
52341,"{""description"": ""A group of people, mostly women wearing red hats and outfits, are boarding or standing near a city bus, while a smiling bus driver in uniform stands beside them."", ""details"": {""objects"": [""bus"", ""bus driver"", ""women in red hats"", ""red hats"", ""blue outfits"", ""white uniform"", ""handbags"", ""bus route sign""], ""scene"": ""urban street"", ""spatial_info"": {""bus"": ""central background, with open door on the right"", ""bus driver"": ""standing in front of the bus, slightly to the right"", ""women in red hats"": ""gathered in front of the bus, mostly on the left side"", ""red hats"": ""worn by several women, prominently visible"", ""blue outfits"": ""worn by the women in the foreground"", ""white uniform"": ""worn by the bus driver"", ""handbags"": ""held by some of the women"", ""bus route sign"": ""displaying '59 G.E.-EVENDALE' above the bus window""}}}","Definition: In this task, draw bounding boxes around the bus, bus driver, and women in red hats.
Emphasis & Caution: Focus on red hats and blue outfits on the left, and the bus driver in a white uniform standing slightly to the right in front of the bus.
Things to Avoid: Do not annotate handbags or the bus route sign displaying “59 G.E.-EVENDALE”."
52611,"{""description"": ""A man takes a mirror selfie in a public restroom, which features a sink, trash can, toilet, and accessibility rail."", ""details"": {""objects"": [""man"", ""mirror"", ""sink"", ""trash can"", ""toilet"", ""hand soap dispenser"", ""paper towel dispenser"", ""accessibility rail"", ""wallpaper"", ""floor tiles""], ""scene"": ""indoor scene"", ""spatial_info"": {""man"": ""reflected in the mirror, standing in front of the sink"", ""mirror"": ""mounted on the wall above the sink"", ""sink"": ""on the left wall, below the mirror"", ""trash can"": ""centered between the sink and toilet"", ""toilet"": ""on the right side of the image, next to the accessibility rail"", ""hand soap dispenser"": ""mounted on the wall to the right of the sink"", ""paper towel dispenser"": ""mounted on the wall to the left of the sink"", ""accessibility rail"": ""mounted on the wall above the toilet"", ""wallpaper"": ""decorative mural above the sink and toilet"", ""floor tiles"": ""black and white patterned tiles covering the floor""}}}","Definition: In this task, draw bounding boxes around the man.
Emphasis & Caution: Reflected in the mirror, standing in front of the sink.
Things to Avoid: Do not annotate mirror, sink, trash can, toilet, hand soap dispenser, paper towel dispenser, accessibility rail, wallpaper, floor tiles."
52849,"{""description"": ""A row of food trucks parked in a lot with people gathered around them during twilight, illuminated by a streetlight."", ""details"": {""objects"": [""food trucks"", ""people"", ""streetlight"", ""signs"", ""parking lot""], ""scene"": ""outdoor parking lot"", ""spatial_info"": {""food_trucks"": ""lined up horizontally across the middle of the image, extending from left to right"", ""people"": ""standing and walking near the food trucks, mostly in the center and right side of the frame"", ""streetlight"": ""positioned in the upper left corner, casting a glow over the scene"", ""signs"": ""visible on the side of the red food truck and near the trucks"", ""parking_lot"": ""dark asphalt surface with white painted lines, occupying the foreground and background""}}}","Definition: In this task, draw bounding boxes around food trucks and people.
Emphasis & Caution: food trucks lined up horizontally across the middle; people mostly in the center and right side.
Things to Avoid: streetlight, signs, parking lot."
53108,"{""description"": ""A red metal gate blocks the entrance to a driveway where a silver sedan and a white boat on a trailer are parked beside a white building."", ""details"": {""objects"": [""red metal gate"", ""silver sedan"", ""white boat on trailer"", ""white building"", ""tree branches"", ""concrete driveway""], ""scene"": ""residential driveway"", ""spatial_info"": {""red metal gate"": ""in foreground, partially open, blocking the driveway entrance"", ""silver sedan"": ""parked on the left side of the driveway, behind the gate"", ""white boat on trailer"": ""parked on the right side of the driveway, behind the gate"", ""white building"": ""in the background, behind the boat and sedan"", ""tree branches"": ""visible at the top left, extending over the scene"", ""concrete driveway"": ""extends from the foreground to the background, beneath the gate and vehicles""}}}","Definition: In this task, draw bounding boxes around the red metal gate, silver sedan, and white boat on trailer.
Emphasis & Caution: Red metal gate in foreground partially open; silver sedan on left behind gate; white boat on trailer on right behind gate.
Things to Avoid: white building, tree branches, concrete driveway."
53364,"{""description"": ""A vibrant cultural parade featuring children and adults in traditional costumes holding colorful umbrellas and flowing fabrics."", ""details"": {""objects"": [""children in traditional costumes"", ""adults in traditional attire"", ""colorful paper umbrellas"", ""flowing silk fabrics"", ""crowd of spectators""], ""scene"": ""urban street"", ""spatial_info"": {""children"": [""center-left, holding a red umbrella"", ""right side, holding a green umbrella""], ""adults"": [""background, wearing elaborate costumes"", ""left side, partially visible""], ""umbrellas"": [""red umbrella in center-left"", ""green umbrella in center-right""], ""fabrics"": [""pink and white flowing behind children"", ""rainbow-colored fabrics on right side""], ""spectators"": [""background, standing on street""]}}}","Definition: In this task, draw bounding boxes around children in traditional costumes and adults in traditional attire.
Emphasis & Caution: Include children holding a red umbrella (center-left) and a green umbrella (right side); adults in background wearing elaborate costumes or partially visible on left side.
Things to Avoid: Do not annotate colorful paper umbrellas, flowing silk fabrics, or crowd of spectators."
